order_id,customer_name,country,product_category,order_date,quantity,unit_price_sek,payment_status,delivery_status
O001,anna lind,sweden,electronics,2024-01-15,2,199,paid,delivered
O002,ERIK SVENSSON,SWEDEN,ELECTRONICS,2024-02-15,ONE,499,PAID,DELIVERED
O003,Sofia  Costa,SE,Elec,2023.03.10,1,"1,299",paid,delivered
O004,leo martin,finland,clothing,2024-04-20,3,99,Unpaid,Shipped
O005,Emma Dubois,FI,Clothing,2025/05/05,5,249 SEK,UNPAID,SHIPPED
O006,Mikael  Andersson,Portugal,CLOTHING,2023-06-18,2,799,unpaid,shipped
O007,ines ferreira,PORTUGAL,home,2024-07-22,4,129,Pending,Processing
O008,JOHAN BERG,france,HOME,2025-08-30,ten,2 499,PENDING,PROCESSING
O009,Clara Müller,FRANCE,Home & Kitchen,2023/09/12,1,349,pending,processing
O010,Noah Wilson,US,beauty,2024.10.01,6,89,Failed,Delayed
O011,Amina Hassan,usa,BEAUTY,2023-01-10,2,199,FAILED,DELAYED
O012,Lucas Moreau,United States,sports,2023-01-25,1,299,Payment Failed,In Transit
O013,Sara Nilsson,Switzerland,SPORTS,2023-02-14,3,499,Paid,in transit
O014,Daniel Virtanen,switzerland,books,2023-02-28,4,699,Unpaid,IN TRANSIT
O015,Maria Rossi,Sweden,Books,2023-03-12,2,899,Pending,Returned
O016,Oliver Smith,Finland,toys,2023-03-27,5,1299,Failed,RETURNED
O017,Elin Karlsson,Portugal,TOYS,2023-04-09,1,1599,Paid,Cancelled
O018,Hugo Laurent,France,Electronics,2023-04-24,6,79,Unpaid,CANCELLED
O019,Nina Weber,Switzerland,Clothing,2023-05-11,3,149,Pending,canceled
O020,Tom Johnson,United States,Home & Kitchen,2023-05-29,2,249,Failed,Delivered
O021,Lina Andersson,Sweden,Beauty,2023-06-13,4,399,Paid,Shipped
O022,Axel Bergström,Finland,Sports,2023-06-30,1,599,Unpaid,Processing
O023,Maja Eriksson,Portugal,Books,2023-07-15,2,799,Pending,Delayed
O024,Oskar Nilsson,France,Toys,2023-07-31,5,999,Failed,In Transit
O025,Ella Karlsson,Switzerland,Electronics,2023-08-16,3,1199,Paid,Returned
O026,William Johansson,United States,Clothing,2023-08-28,1,1499,Unpaid,Cancelled
O027,Alma Larsson,Sweden,Home & Kitchen,2023-09-09,4,1999,Pending,Delivered
O028,Viktor Persson,Finland,Beauty,2023-09-26,2,59,Failed,Shipped
O029,Nora Lindgren,Portugal,Sports,2023-10-13,6,99,Paid,Processing
O030,Elias Holm,France,Books,2023-10-30,1,159,Unpaid,Delayed
O031,Freja Sandberg,Switzerland,Toys,2023-11-15,3,229,Pending,In Transit
O032,Isak Gustafsson,United States,Electronics,2023-11-29,5,349,Failed,Returned
O033,Alice Lund,Sweden,Clothing,2023-12-08,2,449,Paid,Cancelled
O034,Theo Andersson,Finland,Home & Kitchen,2023-12-22,4,549,Unpaid,Delivered
O035,Ida Berg,Portugal,Beauty,2024-01-08,1,649,Pending,Shipped
O036,Filip Karlsson,France,Sports,2024-01-24,2,749,Failed,Processing
O037,Julia Svensson,Switzerland,Books,2024-02-09,3,849,Paid,Delayed
O038,Max Lindholm,United States,Toys,2024-02-21,6,949,Unpaid,In Transit
O039,Ebba Persson,Sweden,Electronics,2024-03-06,5,1049,Pending,Returned
O040,Adam Nilsson,Finland,Clothing,2024-03-19,1,1149,Failed,Cancelled
O041,Clara Bergman,Portugal,Home & Kitchen,2024-04-03,4,1249,Paid,Delivered
O042,Hugo Lind,France,Beauty,2024-04-17,2,1349,Unpaid,Shipped
O043,Lea Johansson,Switzerland,Sports,2024-05-02,3,1449,Pending,Processing
O044,Noel Eriksson,United States,Books,2024-05-16,1,1549,Failed,Delayed
O045,Signe Larsson,Sweden,Toys,2024-06-01,5,1649,Paid,In Transit
O046,Liam Svensson,Finland,Electronics,2024-06-18,6,1749,Unpaid,Returned
O047,Mila Karlsson,Portugal,Clothing,2024-07-04,2,1849,Pending,Cancelled
O048,Elliot Berg,France,Home & Kitchen,2024-07-19,4,1949,Failed,Delivered
O049,Astrid Holm,Switzerland,Beauty,2024-08-05,1,2049,Paid,Shipped
